QueryID,Number,KnessetNum,Name,TypeID,TypeDesc,StatusID,PersonID,GovMinistryID,SubmitDate,ReplyMinisterDate,LastUpdatedDate
2228986,3044.0,25,תשתיות רווחה בחברה הערבית ,48,רגילה,9,30558,711,2025-03-23T00:00:00,2025-05-07T00:00:00,2025-05-07T15:00:02.423
2228988,3045.0,25,חיזוק ההון האנושי במערך הרווחה,48,רגילה,9,30558,711,2025-03-23T13:12:20.928,2025-05-07T00:00:00,2025-05-07T14:58:28.777
2228989,3345.0,25,תגבור הפעלת תוכניות רווחה,48,רגילה,9,30558,711,2025-05-04T09:33:19.66,2025-05-20T00:00:00,2025-05-20T12:45:08.067
2229013,3346.0,25,הקצאת תקציבים ,48,רגילה,9,30558,711,2025-05-04T10:23:22.97,2025-05-20T00:00:00,2025-05-20T12:46:57.983
2229015,3046.0,25,אספקת וצריכת שירותי הבריאות בחברה הערבית ,48,רגילה,6,30558,1112,2025-03-23T13:38:09.216,,2025-03-23T14:31:33.003
2229017,3047.0,25,שוויון הזדמנויות בספורט ,48,רגילה,9,30558,589,2025-03-23T14:31:49.964,2025-04-07T00:00:00,2025-04-07T14:33:29.837
2229018,3048.0,25,אוריינות דיגיטלית בחברה הערבית ,48,רגילה,6,30558,922,2025-03-23T14:34:12.538,,2025-03-23T14:36:38.47
2229024,2929.0,25,הפעלת שש היחידות הפחמיות בתחנת אורות-רבין,50,דחופה,9,30720,1205,2025-02-24T13:04:35.27,2025-03-05T00:00:00,2025-03-05T18:43:25.8
2229113,2955.0,25,אופן החזרה ללימודים ביישובי הצפון,50,דחופה,9,23597,1004,2025-03-03T13:06:48.627,2025-03-19T00:00:00,2025-03-19T21:38:18.66
2229172,3049.0,25,המשך עסקת החטופים לשלב ב,48,רגילה,6,30777,568,2025-03-23T14:36:55.116,,2025-03-23T14:39:57.017
2229181,2956.0,25,תפוקות ולא תשומות- מאמצי ההסברה,50,דחופה,9,30777,1042,2025-03-03T13:08:46.07,2025-03-05T00:00:00,2025-03-05T11:59:53.967
2229190,3050.0,25,תקציב שירות המילואים,48,רגילה,6,30777,1178,2025-03-23T14:40:28.198,,2025-03-23T14:41:39.6
2229191,3051.0,25,תוכניות להמשך המלחמה ,48,רגילה,6,30777,1178,2025-03-23T14:41:55.626,,2025-03-23T14:43:16.867
2229192,3052.0,25,מחסור במורים במערכת החינוך,48,רגילה,6,30777,1004,2025-03-23T14:43:28.688,,2025-03-23T14:45:46.303
